ags8,ags5,ars_k,gen,kreis_gen,lon,lat
01001000,01001,01001,Flensburg,Flensburg,9.43751,54.78252
01002000,01002,01002,Kiel,Kiel,10.13727,54.321775
01003000,01003,01003,Lübeck,Lübeck,10.683932,53.866269
01004000,01004,01004,Neumünster,Neumünster,9.988422,54.069895
01051011,01051,01051,Brunsbüttel,Dithmarschen,9.13735,53.896932
01051044,01051,01051,Heide,Dithmarschen,9.091156,54.193962
01051003,01051,01051,Averlak,Dithmarschen,9.182663,53.941154
01051010,01051,01051,Brickeln,Dithmarschen,9.221166,54.00849
01051012,01051,01051,Buchholz,Dithmarschen,9.223774,53.987132
01051016,01051,01051,Burg (Dithmarschen),Dithmarschen,9.26246,53.99748
01051022,01051,01051,Dingen,Dithmarschen,9.125804,53.960888
01051024,01051,01051,Eddelak,Dithmarschen,9.137433,53.945888
01051026,01051,01051,Eggstedt,Dithmarschen,9.25927,54.054535
01051032,01051,01051,Frestedt,Dithmarschen,9.176133,54.023523
01051037,01051,01051,Großenrade,Dithmarschen,9.223435,54.02206
01051051,01051,01051,Hochdonn,Dithmarschen,9.293145,54.019564
01051064,01051,01051,Kuden,Dithmarschen,9.192822,53.967853
01051089,01051,01051,Quickborn,Dithmarschen,9.206618,54.009984
01051097,01051,01051,Sankt Michaelisdonn,Dithmarschen,9.121257,53.994807
01051110,01051,01051,Süderhastedt,Dithmarschen,9.20886,54.04991
01051021,01051,01051,Diekhusen-Fahrstedt,Dithmarschen,9.023165,53.946249
01051034,01051,01051,Friedrichskoog,Dithmarschen,8.88014,54.005842
01051046,01051,01051,Helse,Dithmarschen,9.010226,53.977556
01051057,01051,01051,Kaiser-Wilhelm-Koog,Dithmarschen,8.926364,53.942933
01051062,01051,01051,Kronprinzenkoog,Dithmarschen,8.964528,53.97171
01051072,01051,01051,Marne,Dithmarschen,9.008761,53.953695
01051073,01051,01051,Marnerdeich,Dithmarschen,8.982956,53.948483
01051076,01051,01051,Neufeld,Dithmarschen,9.017576,53.907495
01051077,01051,01051,Neufelderkoog,Dithmarschen,8.968827,53.906958
01051090,01051,01051,Ramhusen,Dithmarschen,9.090658,53.941207
01051103,01051,01051,Schmedeswurth,Dithmarschen,9.040335,53.926172
01051118,01051,01051,Trennewurth,Dithmarschen,9.025792,54.000236
01051119,01051,01051,Volsemenhusen,Dithmarschen,9.065625,53.967901
01051005,01051,01051,Barkenholm,Dithmarschen,9.174339,54.237387
01051008,01051,01051,Bergewöhrden,Dithmarschen,9.209426,54.318469
01051019,01051,01051,Dellstedt,Dithmarschen,9.369143,54.237892
01051020,01051,01051,Delve,Dithmarschen,9.252365,54.303978
01051023,01051,01051,Dörpling,Dithmarschen,9.301925,54.260654
01051030,01051,01051,Fedderingen,Dithmarschen,9.132642,54.281144
01051035,01051,01051,Gaushorn,Dithmarschen,9.225318,54.194896
01051036,01051,01051,Glüsing,Dithmarschen,9.216421,54.274547
01051038,01051,01051,Groven,Dithmarschen,8.989147,54.300165
01051047,01051,01051,Hemme,Dithmarschen,9.010966,54.28021
01051049,01051,01051,Hennstedt,Dithmarschen,9.168248,54.283636
01051052,01051,01051,Hövede,Dithmarschen,9.293409,54.243806
01051053,01051,01051,Hollingstedt,Dithmarschen,9.226797,54.290548
01051058,01051,01051,Karolinenkoog,Dithmarschen,8.965495,54.292554
01051060,01051,01051,Kleve,Dithmarschen,9.123229,54.295706
01051061,01051,01051,Krempel,Dithmarschen,9.027607,54.320019
01051065,01051,01051,Lehe,Dithmarschen,9.025334,54.344168
01051068,01051,01051,Linden,Dithmarschen,9.182428,54.252623
01051071,01051,01051,Lunden,Dithmarschen,9.024249,54.330568
01051080,01051,01051,Norderheistedt,Dithmarschen,9.146139,54.245331
01051088,01051,01051,Pahlen,Dithmarschen,9.296387,54.267813
01051092,01051,01051,Rehm-Flehde-Bargen,Dithmarschen,9.036287,54.303981
01051096,01051,01051,Sankt Annen,Dithmarschen,9.07975,54.345413
01051100,01051,01051,Schalkholz,Dithmarschen,9.257028,54.246244
01051102,01051,01051,Schlichting,Dithmarschen,9.089378,54.31014
01051114,01051,01051,Tellingstedt,Dithmarschen,9.2822,54.219944
01051117,01051,01051,Tielenhemme,Dithmarschen,9.398414,54.27746
01051120,01051,01051,Wallen,Dithmarschen,9.269563,54.284766
01051125,01051,01051,Welmbüttel,Dithmarschen,9.246826,54.196873
01051131,01051,01051,Westerborstel,Dithmarschen,9.260601,54.220127
01051133,01051,01051,Wiemerstedt,Dithmarschen,9.11111,54.269259
01051136,01051,01051,Wrohm,Dithmarschen,9.379505,54.212642
01051139,01051,01051,Süderdorf,Dithmarschen,9.343678,54.220732
01051141,01051,01051,Süderheistedt,Dithmarschen,9.148463,54.23483
01051048,01051,01051,Hemmingstedt,Dithmarschen,9.072111,54.147509
01051067,01051,01051,Lieth,Dithmarschen,9.060773,54.15531
01051069,01051,01051,Lohe-Rickelshof,Dithmarschen,9.065603,54.187725
01051075,01051,01051,Neuenkirchen,Dithmarschen,8.987884,54.235602
01051081,01051,01051,Norderwöhrden,Dithmarschen,9.000232,54.192783
01051082,01051,01051,Nordhastedt,Dithmarschen,9.182991,54.17205
01051087,01051,01051,Ostrohe,Dithmarschen,9.130804,54.214
01051107,01051,01051,Stelle-Wittenwurth,Dithmarschen,9.066849,54.254357
01051113,01051,01051,Wöhrden,Dithmarschen,8.994508,54.165463
01051122,01051,01051,Weddingstedt,Dithmarschen,9.088863,54.239275
01051130,01051,01051,Wesseln,Dithmarschen,9.075443,54.208327
01051001,01051,01051,Albersdorf,Dithmarschen,9.283995,54.146557
01051002,01051,01051,Arkebek,Dithmarschen,9.250362,54.160197
01051004,01051,01051,Bargenstedt,Dithmarschen,9.144199,54.095594
01051006,01051,01051,Barlt,Dithmarschen,9.058002,54.012444
01051015,01051,01051,Bunsoh,Dithmarschen,9.320225,54.165522
01051017,01051,01051,Busenwurth,Dithmarschen,9.041298,54.041407
01051027,01051,01051,Elpersbüttel,Dithmarschen,9.047156,54.072963
01051028,01051,01051,Epenwöhrden,Dithmarschen,9.052894,54.112805
01051039,01051,01051,Gudendorf,Dithmarschen,9.1082,54.024736
01051054,01051,01051,Immenstedt,Dithmarschen,9.299737,54.180686
01051063,01051,01051,Krumstedt,Dithmarschen,9.177954,54.068684
01051074,01051,01051,Meldorf,Dithmarschen,9.068784,54.090945
01051078,01051,01051,Nindorf,Dithmarschen,9.114943,54.086722
01051083,01051,01051,Odderade,Dithmarschen,9.190795,54.139384
01051085,01051,01051,Offenbüttel,Dithmarschen,9.357994,54.169186
01051086,01051,01051,Osterrade,Dithmarschen,9.353264,54.190212
01051098,01051,01051,Sarzbüttel,Dithmarschen,9.184027,54.118843
01051099,01051,01051,Schafstedt,Dithmarschen,9.293675,54.079915
01051104,01051,01051,Schrum,Dithmarschen,9.251667,54.187229
01051126,01051,01051,Wennbüttel,Dithmarschen,9.325945,54.139359
01051134,01051,01051,Windbergen,Dithmarschen,9.117779,54.044978
01051135,01051,01051,Wolmersdorf,Dithmarschen,9.103978,54.077114
01051137,01051,01051,Nordermeldorf,Dithmarschen,9.013736,54.112068
01051138,01051,01051,Tensbüttel-Röst,Dithmarschen,9.228605,54.105741
01051013,01051,01051,Büsum,Dithmarschen,8.859577,54.130341
01051014,01051,01051,Büsumer Deichhausen,Dithmarschen,8.890088,54.136175
01051033,01051,01051,Friedrichsgabekoog,Dithmarschen,8.941082,54.157516
01051043,01051,01051,Hedwigenkoog,Dithmarschen,8.840953,54.177985
01051045,01051,01051,Hellschen-Heringsand-Unterschaar,Dithmarschen,8.872882,54.194536
01051050,01051,01051,Hillgroven,Dithmarschen,8.874901,54.227921
01051079,01051,01051,Norddeich,Dithmarschen,8.899964,54.218049
01051084,01051,01051,Oesterdeichstrich,Dithmarschen,8.900566,54.158891
01051093,01051,01051,Reinsbüttel,Dithmarschen,8.911057,54.179073
01051105,01051,01051,Schülp,Dithmarschen,8.929943,54.241971
01051108,01051,01051,Strübbel,Dithmarschen,8.971812,54.260389
01051109,01051,01051,Süderdeich,Dithmarschen,8.91131,54.201711
01051121,01051,01051,Warwerort,Dithmarschen,8.921723,54.141177
01051127,01051,01051,Wesselburen,Dithmarschen,8.920686,54.212159
01051128,01051,01051,Wesselburener Deichhausen,Dithmarschen,8.937237,54.174947
01051129,01051,01051,Wesselburenerkoog,Dithmarschen,8.876475,54.239438
01051132,01051,01051,Westerdeichstrich,Dithmarschen,8.863517,54.162006
01051140,01051,01051,Oesterwurth,Dithmarschen,8.991292,54.211016
01053032,01053,01053,Geesthacht,Herzogtum Lauenburg,10.371733,53.433112
01053083,01053,01053,Lauenburg/Elbe,Herzogtum Lauenburg,10.554267,53.374189
01053090,01053,01053,Mölln,Herzogtum Lauenburg,10.691022,53.629521
01053100,01053,01053,Ratzeburg,Herzogtum Lauenburg,10.774492,53.699024
01053116,01053,01053,Schwarzenbek,Herzogtum Lauenburg,10.477663,53.502645
01053129,01053,01053,Wentorf bei Hamburg,Herzogtum Lauenburg,10.2519,53.491012
01053008,01053,01053,Behlendorf,Herzogtum Lauenburg,10.667846,53.699475
01053009,01053,01053,Berkenthin,Herzogtum Lauenburg,10.638221,53.734488
01053011,01053,01053,Bliestorf,Herzogtum Lauenburg,10.602527,53.768797
01053024,01053,01053,Düchelsdorf,Herzogtum Lauenburg,10.580373,53.737072
01053034,01053,01053,Göldenitz,Herzogtum Lauenburg,10.631501,53.722025
01053061,01053,01053,Kastorf,Herzogtum Lauenburg,10.570134,53.748875
01053067,01053,01053,Klempau,Herzogtum Lauenburg,10.660387,53.762851
01053075,01053,01053,Krummesse,Herzogtum Lauenburg,10.641961,53.780123
01053094,01053,01053,Niendorf bei Berkenthin,Herzogtum Lauenburg,10.626158,53.702417
01053103,01053,01053,Rondeshagen,Herzogtum Lauenburg,10.629717,53.753642
01053120,01053,01053,Sierksrade,Herzogtum Lauenburg,10.600344,53.736555
01053002,01053,01053,Alt-Mölln,Herzogtum Lauenburg,10.658165,53.622775
01053005,01053,01053,Bälau,Herzogtum Lauenburg,10.621739,53.616381
01053013,01053,01053,Borstorf,Herzogtum Lauenburg,10.564234,53.613074
01053014,01053,01053,Breitenfelde,Herzogtum Lauenburg,10.632977,53.605112
01053037,01053,01053,Grambek,Herzogtum Lauenburg,10.68068,53.574025
01053056,01053,01053,Hornbek,Herzogtum Lauenburg,10.648548,53.5589
01053084,01053,01053,Lehmrade,Herzogtum Lauenburg,10.752721,53.5947
01053095,01053,01053,Niendorf/Stecknitz,Herzogtum Lauenburg,10.609244,53.587228
01053113,01053,01053,Schretstaken,Herzogtum Lauenburg,10.539293,53.586533
01053125,01053,01053,Talkau,Herzogtum Lauenburg,10.568741,53.576852
01053134,01053,01053,Woltersdorf,Herzogtum Lauenburg,10.640176,53.576862
01053010,01053,01053,Besenthal,Herzogtum Lauenburg,10.743239,53.530139
01053015,01053,01053,Bröthen,Herzogtum Lauenburg,10.667034,53.480281
01053020,01053,01053,Büchen,Herzogtum Lauenburg,10.616482,53.480926
01053029,01053,01053,Fitzen,Herzogtum Lauenburg,10.64667,53.493942
01053035,01053,01053,Göttin,Herzogtum Lauenburg,10.70343,53.533746
01053046,01053,01053,Gudow,Herzogtum Lauenburg,10.77219,53.555336
01053048,01053,01053,Güster,Herzogtum Lauenburg,10.680583,53.53952
01053064,01053,01053,Klein Pampau,Herzogtum Lauenburg,10.586656,53.512681
01053080,01053,01053,Langenlehsten,Herzogtum Lauenburg,10.740533,53.499907
01053092,01053,01053,Müssen,Herzogtum Lauenburg,10.562546,53.494346
01053104,01053,01053,Roseburg,Herzogtum Lauenburg,10.624215,53.530505
01053115,01053,01053,Schulendorf,Herzogtum Lauenburg,10.561815,53.47331
01053119,01053,01053,Siebeneichen,Herzogtum Lauenburg,10.618693,53.510828
01053126,01053,01053,Tramm,Herzogtum Lauenburg,10.614693,53.56324
01053132,01053,01053,Witzeeze,Herzogtum Lauenburg,10.610144,53.452652
01053003,01053,01053,Aumühle,Herzogtum Lauenburg,10.313492,53.528598
01053012,01053,01053,Börnsen,Herzogtum Lauenburg,10.285588,53.476743
01053023,01053,01053,Dassendorf,Herzogtum Lauenburg,10.372665,53.488608
01053028,01053,01053,Escheburg,Herzogtum Lauenburg,10.309429,53.46713
01053050,01053,01053,Hamwarde,Herzogtum Lauenburg,10.421397,53.452847
01053053,01053,01053,Hohenhorn,Herzogtum Lauenburg,10.367611,53.475734
01053072,01053,01053,Kröppelshagen-Fahrendorf,Herzogtum Lauenburg,10.315197,53.488589
01053131,01053,01053,Wiershop,Herzogtum Lauenburg,10.451895,53.442501
01053133,01053,01053,Wohltorf,Herzogtum Lauenburg,10.291254,53.517253
01053135,01053,01053,Worth,Herzogtum Lauenburg,10.408431,53.467545
01053006,01053,01053,Basedow,Herzogtum Lauenburg,10.583592,53.416151
01053019,01053,01053,Buchhorst,Herzogtum Lauenburg,10.568335,53.384993
01053022,01053,01053,Dalldorf,Herzogtum Lauenburg,10.610487,53.435521
01053058,01053,01053,Juliusburg,Herzogtum Lauenburg,10.506484,53.41715
01053073,01053,01053,Krüzen,Herzogtum Lauenburg,10.527113,53.401518
01053074,01053,01053,Krukow,Herzogtum Lauenburg,10.478187,53.418864
01053082,01053,01053,Lanze,Herzogtum Lauenburg,10.604387,53.386341
01053087,01053,01053,Lütau,Herzogtum Lauenburg,10.545404,53.435861
01053111,01053,01053,Schnakenbek,Herzogtum Lauenburg,10.50018,53.385426
01053128,01053,01053,Wangelau,Herzogtum Lauenburg,10.546567,53.453726
01053001,01053,01053,Albsfelde,Herzogtum Lauenburg,10.694451,53.679957
01053004,01053,01053,Bäk,Herzogtum Lauenburg,10.787081,53.716345
01053016,01053,01053,Brunsmark,Herzogtum Lauenburg,10.750236,53.617106
01053018,01053,01053,Buchholz,Herzogtum Lauenburg,10.745377,53.731393
01053026,01053,01053,Einhaus,Herzogtum Lauenburg,10.725697,53.714136
01053030,01053,01053,Fredeburg,Herzogtum Lauenburg,10.72727,53.674253
01053033,01053,01053,Giesensdorf,Herzogtum Lauenburg,10.713651,53.688273
01053040,01053,01053,Groß Disnack,Herzogtum Lauenburg,10.69059,53.741974
01053041,01053,01053,Groß Grönau,Herzogtum Lauenburg,10.750476,53.801387
01053043,01053,01053,Groß Sarau,Herzogtum Lauenburg,10.737415,53.771827
01053051,01053,01053,Harmsdorf,Herzogtum Lauenburg,10.725868,53.700407
01053054,01053,01053,Hollenbek,Herzogtum Lauenburg,10.819794,53.592298
01053057,01053,01053,Horst,Herzogtum Lauenburg,10.77065,53.638591
01053062,01053,01053,Kittlitz,Herzogtum Lauenburg,10.918244,53.664141
01053066,01053,01053,Klein Zecher,Herzogtum Lauenburg,10.872803,53.577413
01053078,01053,01053,Kulpin,Herzogtum Lauenburg,10.695812,53.71009
01053088,01053,01053,Mechow,Herzogtum Lauenburg,10.801815,53.717556
01053093,01053,01053,Mustin,Herzogtum Lauenburg,10.886235,53.68453
01053098,01053,01053,Pogeez,Herzogtum Lauenburg,10.729435,53.750929
01053102,01053,01053,Römnitz,Herzogtum Lauenburg,10.768957,53.710121
01053107,01053,01053,Salem,Herzogtum Lauenburg,10.827965,53.656405
01053110,01053,01053,Schmilau,Herzogtum Lauenburg,10.75597,53.664589
01053117,01053,01053,Seedorf,Herzogtum Lauenburg,10.866858,53.619223
01053123,01053,01053,Sterley,Herzogtum Lauenburg,10.817631,53.620115
01053136,01053,01053,Ziethen,Herzogtum Lauenburg,10.809322,53.693695
01053007,01053,01053,Basthorst,Herzogtum Lauenburg,10.47139,53.576616
01053017,01053,01053,Brunstorf,Herzogtum Lauenburg,10.425938,53.491554
01053021,01053,01053,Dahmker,Herzogtum Lauenburg,10.444516,53.587821
01053027,01053,01053,Elmenhorst,Herzogtum Lauenburg,10.537551,53.544876
01053031,01053,01053,Fuhlenhagen,Herzogtum Lauenburg,10.5266,53.572959
01053036,01053,01053,Grabau,Herzogtum Lauenburg,10.519825,53.513609
01053042,01053,01053,Groß Pampau,Herzogtum Lauenburg,10.560301,53.521808
01053045,01053,01053,Grove,Herzogtum Lauenburg,10.492067,53.528123
01053047,01053,01053,Gülzow,Herzogtum Lauenburg,10.490939,53.442249
01053049,01053,01053,Hamfelde,Herzogtum Lauenburg,10.44893,53.597194
01053052,01053,01053,Havekost,Herzogtum Lauenburg,10.473088,53.539918
01053059,01053,01053,Kankelau,Herzogtum Lauenburg,10.56832,53.549311
01053060,01053,01053,Kasseburg,Herzogtum Lauenburg,10.415399,53.567213
01053070,01053,01053,Köthel,Herzogtum Lauenburg,10.510002,53.606936
01053071,01053,01053,Kollow,Herzogtum Lauenburg,10.458784,53.463155
01053076,01053,01053,Kuddewörde,Herzogtum Lauenburg,10.401901,53.587291
01053089,01053,01053,Möhnsen,Herzogtum Lauenburg,10.469197,53.559974
